duration,proto,service,orig_bytes,resp_bytes,conn_state,missed_bytes,orig_pkts,resp_pkts,orig_ip_bytes,resp_ip_bytes,label,label_name
0.961011,tcp,unknown,79670,0,OTH,0,96,96,84854,5760,0,Normal
2.948018,tcp,http,84,0,S1,0,14,0,560,0,1,Attack
0.0,other,unknown,0,0,OTH,0,1,0,60,0,0,Normal
1e-06,udp,unknown,496,0,OTH,0,2,0,580,0,0,Normal
0.0,tcp,dns,0,0,S1,0,2,0,128,0,1,Attack
1e-06,udp,unknown,496,0,OTH,0,2,0,580,0,0,Normal
2.912656,tcp,http,84,0,S1,0,14,0,560,0,1,Attack
0.0,tcp,dns,0,0,S1,0,2,0,128,0,1,Attack
0.926953,tcp,unknown,72852,0,OTH,0,96,96,78036,5760,0,Normal
0.0,other,unknown,0,0,OTH,0,1,0,60,0,0,Normal
1e-06,udp,unknown,274,0,OTH,0,2,0,358,0,0,Normal
1e-06,udp,unknown,52,0,OTH,0,4,0,164,0,1,Attack
0.967075,tcp,unknown,65818,0,OTH,0,86,86,70462,5160,0,Normal
0.0,tcp,dns,0,0,S1,0,2,0,128,0,1,Attack
1e-06,udp,unknown,496,0,OTH,0,2,0,580,0,0,Normal
0.0,udp,unknown,496,0,OTH,0,2,0,580,0,0,Normal
0.985835,tcp,unknown,103264,0,OTH,0,124,124,109960,7440,0,Normal
2.931281,tcp,http,84,0,S1,0,14,0,560,0,1,Attack
1.9057,udp,dns,0,0,OTH,0,10,0,280,0,1,Attack
0.0,tcp,ssl,0,0,S1,0,2,0,120,0,1,Attack
0.76022,udp,unknown,1478,0,OTH,0,10,0,1898,0,0,Normal
0.0,other,unknown,0,0,OTH,0,1,0,60,0,0,Normal
0.0,tcp,dns,0,0,S1,0,2,0,128,0,1,Attack
0.250914,udp,unknown,658,0,OTH,0,4,0,826,0,0,Normal
0.004263,tcp,unknown,1762,930,SF,0,16,12,2610,1570,1,Attack
0.0,other,unknown,0,0,OTH,0,1,0,60,0,0,Normal
1e-06,tcp,unknown,0,0,S1,0,0,2,0,148,0,Normal
0.0,udp,unknown,496,0,OTH,0,2,0,580,0,0,Normal
0.0,other,unknown,0,0,OTH,0,1,0,60,0,0,Normal
351.176018,other,unknown,3588,0,OTH,0,138,0,4140,0,1,Attack
0.0,tcp,ssl,0,0,S1,0,2,0,120,0,1,Attack
0.0,tcp,ssl,0,0,S1,0,2,0,120,0,1,Attack
1.921999,udp,dns,0,0,OTH,0,10,0,280,0,1,Attack
1.90805,udp,dns,0,0,OTH,0,10,0,280,0,1,Attack
0.0,tcp,ssl,0,0,S1,0,2,0,120,0,1,Attack
0.416713,tcp,unknown,172296,1316,S1,0,138,74,179776,5724,0,Normal
0.960549,tcp,unknown,106202,0,OTH,0,122,120,112790,7200,0,Normal
0.965962,tcp,unknown,110190,0,OTH,0,100,100,115590,6000,0,Normal
0.0,other,unknown,0,0,OTH,0,1,0,60,0,0,Normal
1e-06,udp,unknown,496,0,OTH,0,2,0,580,0,0,Normal
1.914242,udp,dns,0,0,OTH,0,10,0,280,0,1,Attack
0.0,tcp,dns,0,0,S1,0,2,0,128,0,1,Attack
0.643952,other,unknown,0,0,OTH,0,2,0,120,0,0,Normal
0.961329,tcp,unknown,198630,1132,OTH,0,174,102,208026,7204,0,Normal
0.0,tcp,dns,0,0,S1,0,2,0,128,0,1,Attack
144.009459,tcp,dns,0,0,S1,0,4,0,256,0,1,Attack
0.043853,tcp,unknown,4,12,RSTR,0,2,2,88,80,1,Attack
1e-06,udp,unknown,496,0,OTH,0,2,0,580,0,0,Normal
2.936136,tcp,http,84,0,S1,0,14,0,560,0,1,Attack
1.889752,udp,dns,0,0,OTH,0,10,0,280,0,1,Attack
0.960912,tcp,unknown,81636,0,OTH,0,96,96,86820,5760,0,Normal
0.98394,tcp,unknown,95778,0,OTH,0,108,108,101610,6480,0,Normal
2.939783,tcp,http,84,0,S1,0,14,0,560,0,1,Attack
0.0,tcp,ssl,0,0,S1,0,2,0,120,0,1,Attack
1.897932,udp,dns,0,0,OTH,0,10,0,280,0,1,Attack
1.918796,udp,dns,0,0,OTH,0,10,0,280,0,1,Attack
0.635422,tcp,unknown,45174,0,RSTO,0,62,60,48534,3600,0,Normal
2.941682,tcp,http,84,0,S1,0,14,0,560,0,1,Attack
0.974693,tcp,unknown,51002,0,OTH,0,66,66,54566,3960,0,Normal
0.0,tcp,ssl,0,0,S1,0,2,0,120,0,1,Attack
0.975554,tcp,unknown,67942,0,OTH,0,96,96,73126,5760,0,Normal
1.910837,udp,dns,0,0,OTH,0,10,0,280,0,1,Attack
0.973728,tcp,unknown,105514,0,OTH,0,124,122,112210,7320,0,Normal
0.156992,other,unknown,0,0,OTH,0,2,0,120,0,0,Normal
9.9e-05,udp,dhcp,1480,0,OTH,0,2,0,1564,0,0,Normal
1e-06,tcp,dns,0,0,S1,0,2,0,128,0,1,Attack
1.892318,udp,dns,0,0,OTH,0,10,0,280,0,1,Attack
0.0,tcp,dns,0,0,S1,0,2,0,128,0,1,Attack
1.894221,udp,dns,0,0,OTH,0,10,0,280,0,1,Attack
3.425601,tcp,http,90,0,S1,0,15,0,600,0,1,Attack
1e-06,udp,unknown,496,0,OTH,0,2,0,580,0,0,Normal
0.0,tcp,ssl,0,0,S1,0,2,0,120,0,1,Attack
0.251477,udp,unknown,658,0,OTH,0,4,0,826,0,0,Normal
0.926945,tcp,unknown,80728,0,OTH,0,94,94,85804,5640,0,Normal
0.814013,tcp,unknown,63578,0,RSTO,0,82,80,68018,4800,0,Normal
1.902717,udp,dns,0,0,OTH,0,10,0,280,0,1,Attack
1.905044,udp,dns,0,0,OTH,0,10,0,280,0,1,Attack
0.884194,tcp,unknown,128650,0,OTH,0,132,128,135778,7680,0,Normal
0.0,udp,unknown,496,0,OTH,0,2,0,580,0,0,Normal
0.979132,tcp,unknown,106088,0,OTH,0,112,106,112136,6360,0,Normal
0.501578,udp,unknown,486,0,OTH,0,6,0,738,0,0,Normal
1.903647,udp,dns,0,0,OTH,0,10,0,280,0,1,Attack
1e-06,udp,unknown,496,0,OTH,0,2,0,580,0,0,Normal
0.222729,tcp,unknown,10450,0,RSTO,0,20,18,11542,1080,0,Normal
0.930144,tcp,unknown,89806,0,OTH,0,106,106,95530,6360,0,Normal
