orig_ip_bytes,tunnel_parents,conn_state,resp_bytes,resp_pkts,local_resp,id.orig_h,ip_proto,orig_bytes,orig_pkts,id.resp_h,id.orig_p,ts,uid,duration,missed_bytes,history,label,local_orig,resp_ip_bytes,service,id.resp_p,proto
1342,0,OTH,243,1,T,0.0.0.0,17,1319.0,1.0,255.255.255.255,40000,1776342150.8177838,Czcau325dNSuiz1Jl2,0.74565,0,D,0,T,275,dns,67,udp
1086,0,OTH,696,0,T,0.0.0.0,17,1048.0,9.0,255.255.255.255,50000,1776343235.3324246,CyQ8h33Iu8dtXJU6dk,1.078646,0,D,0,T,742,-,1900,udp
1223,0,S0,908,0,F,fe80::de4a:3eff:fe7d:a510,58,1202.0,10.0,ff02::2,50000,1776364220.2158904,CUROQV1OlBdj0o3oN4,1.877329,0,0,0,T,958,dns,5353,icmp
258,0,OTH,339,4,T,0.0.0.0,17,217.0,6.0,255.255.255.255,68,1776325561.2034912,CERlZ91S2q8Qp9egc7,0.404587,0,D,0,T,367,dns,67,udp
1766,0,RSTO,166,1,T,192.168.118.66,6,263.0,6.0,192.168.10.120,53038,1776349040.658969,841178cd5af94c0381,0.7479547661800607,0,ShADTaFdtR,1,T,1492,http,23,tcp
409,0,SF,1188,1,T,0.0.0.0,17,365.0,1.0,255.255.255.255,68,1776348233.9597187,CNEbTY3YhV3i2i2nJ5,0.894239,0,D,0,T,1242,dns,1900,udp
1354,0,OTH,631,1,F,fe80::127d:1aff:fe3f:36c4,58,1331.0,4.0,ff02::16,5353,1776360769.2115555,CAoyai4SF4RpkKxvk6,1.363668,0,0,0,T,654,dhcp,67,icmp
670,0,S0,611,2,F,fe80::127d:1aff:fe3f:36c4,58,642.0,4.0,ff02::2,40000,1776360406.441136,CzuF6i1CzcXN5Z5tR,1.552107,0,0,0,T,665,ntp,1900,icmp
1266,0,RSTO,208,0,T,192.168.41.238,6,261.0,3.0,192.168.10.120,34074,1776348982.287725,bdec27618e114cbda9,1.919200639059513,0,ShADTadtR,1,T,952,http,3389,udp
193,0,OTH,858,4,T,0.0.0.0,17,168.0,9.0,255.255.255.255,40000,1776324727.4045184,CUBrng1cgCAi7HMZCj,1.995872,0,D,0,T,900,-,67,udp
606,0,S0,1185,2,T,0.0.0.0,17,552.0,5.0,255.255.255.255,68,1776364724.1521604,CNV5wl2QyKE2KGgI9g,0.647154,0,D,0,T,1240,dns,67,udp
639,0,SF,42,0,T,0.0.0.0,17,604.0,10.0,255.255.255.255,40000,1776325689.2679858,C4eUsv28Jg7n4S1pG5,0.210345,0,D,0,T,80,dhcp,5353,udp
854,0,SF,1060,2,T,0.0.0.0,17,796.0,5.0,255.255.255.255,68,1776324663.7065618,CF6g844NAFxdgczAsd,1.956941,0,D,0,T,1112,dns,5353,udp
333,0,RSTO,0,0,T,192.168.187.135,17,0.0,6.0,255.255.255.255,68,1776349067.115735,4cb2a2ecb2f74c3a85,1.171940314095382,0,D,1,T,0,dhcp,3389,tcp
1602,0,S0,166,20,T,192.168.201.144,6,1457.4745561347747,80.1591572159994,192.168.10.120,44104,1776345566.435292,77f8bffc457d478481,0.6482088128746466,0,ShADTaFdtR,1,T,1388,http,8080,udp
1568,0,S0,0,0,T,192.168.83.82,6,199.0,3.0,192.168.10.120,52962,1776349039.751209,fb2322431e6241288c,0.1836052128900512,0,ShADTaFdtR,1,T,1388,http,494,tcp
1262,0,REJ,0,0,T,192.168.81.27,6,125.0,2.0,192.168.10.120,36684,1776345510.126879,bc52c9dfb4944858b2,0.0857388947920794,0,ShADTadtR,1,T,952,http,6,tcp
